Date,HomeTeam,AwayTeam,Bookmaker,BookmakerKey,Market,Outcome,Point,DecimalOdds,ManualSource
2026-08-23,Man City,Bournemouth,MyBookie.ag,mybookie_manual,h2h,Draw,,4.8,screenshot_2026-08-17
2026-08-23,Man City,Bournemouth,MyBookie.ag,mybookie_manual,h2h,Bournemouth,,5.6,screenshot_2026-08-17
2026-08-23,Man City,Bournemouth,MyBookie.ag,mybookie_manual,spreads,Man City,-1.5,2.11,screenshot_2026-08-17
2026-08-23,Man City,Bournemouth,MyBookie.ag,mybookie_manual,spreads,Bournemouth,1.5,1.6535947712,screenshot_2026-08-17
2026-08-23,Man City,Bournemouth,MyBookie.ag,mybookie_manual,totals,Over,3.5,2.04,screenshot_2026-08-17
2026-08-23,Man City,Bournemouth,MyBookie.ag,mybookie_manual,totals,Under,3.5,1.6944444444,screenshot_2026-08-17
2026-08-23,Newcastle,Liverpool,MyBookie.ag,mybookie_manual,h2h,Newcastle,,3.42,screenshot_2026-08-17
2026-08-23,Newcastle,Liverpool,MyBookie.ag,mybookie_manual,h2h,Draw,,3.8,screenshot_2026-08-17
2026-08-23,Newcastle,Liverpool,MyBookie.ag,mybookie_manual,h2h,Liverpool,,1.9009009009,screenshot_2026-08-17
2026-08-23,Newcastle,Liverpool,MyBookie.ag,mybookie_manual,spreads,Newcastle,0.5,1.826446281,screenshot_2026-08-17
2026-08-23,Newcastle,Liverpool,MyBookie.ag,mybookie_manual,spreads,Liverpool,-0.5,1.8771929825,screenshot_2026-08-17
2026-08-23,Newcastle,Liverpool,MyBookie.ag,mybookie_manual,totals,Over,3.5,2.09,screenshot_2026-08-17
2026-08-23,Newcastle,Liverpool,MyBookie.ag,mybookie_manual,totals,Under,3.5,1.6622516556,screenshot_2026-08-17
2026-08-24,Fulham,Chelsea,MyBookie.ag,mybookie_manual,h2h,Fulham,,3.4,screenshot_2026-08-17
2026-08-24,Fulham,Chelsea,MyBookie.ag,mybookie_manual,h2h,Draw,,3.65,screenshot_2026-08-17
2026-08-24,Fulham,Chelsea,MyBookie.ag,mybookie_manual,h2h,Chelsea,,1.9523809524,screenshot_2026-08-17
2026-08-24,Fulham,Chelsea,MyBookie.ag,mybookie_manual,spreads,Fulham,0.5,1.7874015748,screenshot_2026-08-17
2026-08-24,Fulham,Chelsea,MyBookie.ag,mybookie_manual,spreads,Chelsea,-0.5,1.9259259259,screenshot_2026-08-17
2026-08-24,Fulham,Chelsea,MyBookie.ag,mybookie_manual,totals,Over,2.5,1.5882352941,screenshot_2026-08-17
