Season,Date,HomeTeam,AwayTeam,Side,Team,Point,LineBucket,OddsSource,DecimalOdds,ModelWinProbability,ModelPushProbability,MarketNoVigProbability,ModelMinusMarketProbability,ModelExpectedReturn,Result,FlatBetReturn,PositiveModelEV
2021/22,2022-02-09,Tottenham,Southampton,Home,Tottenham,-1.0,-0.5 to -1.0,Pinnacle Close,1.97,0.3792736349372088,0.24274341381098238,0.49744897959183665,-0.11817534465462787,-0.010087525362716288,L,-1.0,False
2021/22,2022-02-09,Tottenham,Southampton,Away,Southampton,1.0,+0.5 to +1.0,Pinnacle Close,1.95,0.37798295125180864,0.24274341381098238,0.5025510204081632,-0.1245680691563546,-0.020189831247990675,W,0.95,False
2021/22,2022-02-12,Brentford,Crystal Palace,Home,Brentford,0.0,near pick'em,Pinnacle Close,2.21,0.35527381893384513,0.2870629986274784,0.44050632911392407,-0.08523251018007894,0.07221813847127612,PUSH,0.0,True
2021/22,2022-02-12,Brentford,Crystal Palace,Away,Crystal Palace,-0.0,near pick'em,Pinnacle Close,1.74,0.3576631824386765,0.2870629986274784,0.5594936708860759,-0.20183048844739943,-0.09060306392922451,PUSH,0.0,False
2021/22,2022-02-12,Man United,Southampton,Home,Man United,-1.0,-0.5 to -1.0,Pinnacle Close,1.88,0.27412335799707316,0.22517249404058085,0.5204081632653061,-0.246284805268233,-0.2594755929249216,L,-1.0,False
2021/22,2022-02-12,Man United,Southampton,Away,Southampton,1.0,+0.5 to +1.0,Pinnacle Close,2.04,0.5007041479623457,0.22517249404058085,0.47959183673469385,0.021112311227651892,0.2466089558837662,W,1.04,True
2021/22,2022-02-13,Newcastle,Aston Villa,Home,Newcastle,0.0,near pick'em,Pinnacle Close,2.02,0.3336180944799445,0.2788930252298015,0.48600508905852424,-0.15238699457857974,-0.04719842392071061,W,1.02,False
2021/22,2022-02-13,Newcastle,Aston Villa,Away,Aston Villa,-0.0,near pick'em,Pinnacle Close,1.91,0.3874888802902541,0.2788930252298015,0.5139949109414759,-0.1265060306512218,0.018996786584186742,L,-1.0,True
2021/22,2022-02-19,Liverpool,Norwich,Home,Liverpool,-2.5,-1.5 or more,Pinnacle Close,1.81,0.6339483944949873,0.0,0.5358974358974359,0.09805095859755142,0.14744659403592708,L,-1.0,True
2021/22,2022-02-19,Liverpool,Norwich,Away,Norwich,2.5,+1.5 or more,Pinnacle Close,2.09,0.36605160550501314,0.0,0.46410256410256406,-0.09805095859755092,-0.23495214449452256,W,1.0899999999999999,False
2021/22,2022-02-19,Man City,Tottenham,Home,Man City,-1.5,-1.5 or more,Pinnacle Close,2.0,0.5232304369292132,0.0,0.48849104859335046,0.034739388335862764,0.046460873858426455,L,-1.0,True
2021/22,2022-02-19,Man City,Tottenham,Away,Tottenham,1.5,+1.5 or more,Pinnacle Close,1.91,0.476769563070787,0.0,0.5115089514066496,-0.03473938833586265,-0.08937013453479686,W,0.9099999999999999,False
2021/22,2022-02-19,Southampton,Everton,Home,Southampton,-0.5,-0.5 to -1.0,Pinnacle Close,1.99,0.44749756928218676,0.0,0.49234693877551017,-0.04484936949332341,-0.10947983712844833,W,0.99,False
2021/22,2022-02-19,Southampton,Everton,Away,Everton,0.5,+0.5 to +1.0,Pinnacle Close,1.93,0.5525024307178132,0.0,0.5076530612244898,0.04484936949332341,0.06632969128537958,L,-1.0,True
2021/22,2022-02-20,Leeds,Man United,Home,Leeds,0.5,+0.5 to +1.0,Pinnacle Close,1.78,0.5374474868064723,0.0,0.5470737913486006,-0.009626304542128317,-0.04334347348447937,L,-1.0,False
2021/22,2022-02-20,Leeds,Man United,Away,Man United,-0.5,-0.5 to -1.0,Pinnacle Close,2.15,0.4625525131935277,0.0,0.4529262086513995,0.009626304542128206,-0.0055120966339154975,W,1.15,False
2021/22,2022-02-25,Southampton,Norwich,Home,Southampton,-1.0,-0.5 to -1.0,Pinnacle Close,1.85,0.3849949640188627,0.2591625744191792,0.530456852791878,-0.14546188877301536,-0.02859674214592478,W,0.8500000000000001,False
2021/22,2022-02-25,Southampton,Norwich,Away,Norwich,1.0,+0.5 to +1.0,Pinnacle Close,2.09,0.3558424615619584,0.2591625744191792,0.46954314720812185,-0.11370068564616342,0.0028733190836722766,L,-1.0,True
2021/22,2022-02-26,Brentford,Newcastle,Home,Brentford,0.0,near pick'em,Pinnacle Close,1.96,0.6022620412475803,0.22990677784377253,0.49872122762148335,0.10354081362609696,0.41034037868902995,L,-1.0,True
2021/22,2022-02-26,Brentford,Newcastle,Away,Newcastle,-0.0,near pick'em,Pinnacle Close,1.95,0.1678311809086472,0.22990677784377253,0.5012787723785167,-0.33344759146986946,-0.4428224193843654,W,0.95,False
2021/22,2022-02-26,Crystal Palace,Burnley,Home,Crystal Palace,-0.5,-0.5 to -1.0,Pinnacle Close,1.92,0.531665326100979,0.0,0.5114503816793893,0.020214944421589776,0.020797426113879747,L,-1.0,True
2021/22,2022-02-26,Crystal Palace,Burnley,Away,Burnley,0.5,+0.5 to +1.0,Pinnacle Close,2.01,0.46833467389902095,0.0,0.4885496183206107,-0.020214944421589776,-0.05864730546296798,W,1.0099999999999998,False
2021/22,2022-02-26,Leeds,Tottenham,Home,Leeds,0.5,+0.5 to +1.0,Pinnacle Close,1.93,0.4688223938545816,0.0,0.5089058524173028,-0.04008345856272122,-0.09517277986065759,L,-1.0,False
2021/22,2022-02-26,Leeds,Tottenham,Away,Tottenham,-0.5,-0.5 to -1.0,Pinnacle Close,2.0,0.5311776061454185,0.0,0.49109414758269715,0.040083458562721386,0.06235521229083707,W,1.0,True
2021/22,2022-02-26,Man United,Watford,Home,Man United,-1.5,-1.5 or more,Pinnacle Close,1.88,0.43092338818679216,0.0,0.5216284987277354,-0.09070511054094327,-0.18986403020883075,L,-1.0,False
2021/22,2022-02-26,Man United,Watford,Away,Watford,1.5,+1.5 or more,Pinnacle Close,2.05,0.5690766118132083,0.0,0.4783715012722647,0.09070511054094366,0.166607054217077,W,1.0499999999999998,True
2021/22,2022-02-27,West Ham,Wolves,Home,West Ham,-0.5,-0.5 to -1.0,Pinnacle Close,1.94,0.49941416247178033,0.0,0.5051020408163266,-0.00568787834454626,-0.031136524804746213,W,0.94,False
2021/22,2022-02-27,West Ham,Wolves,Away,Wolves,0.5,+0.5 to +1.0,Pinnacle Close,1.98,0.5005858375282194,0.0,0.49489795918367346,0.005687878344545927,-0.008840041694125611,L,-1.0,False
2021/22,2022-03-01,Burnley,Leicester,Home,Burnley,0.0,near pick'em,Pinnacle Close,1.74,0.3657603760894458,0.26330737115218034,0.5617128463476071,-0.19595247025816132,-0.10026957445218398,L,-1.0,False
2021/22,2022-03-01,Burnley,Leicester,Away,Leicester,-0.0,near pick'em,Pinnacle Close,2.23,0.3709322527583742,0.26330737115218034,0.438287153652393,-0.0673549008940188,0.0904862948033549,W,1.23,True
2021/22,2022-03-05,Burnley,Chelsea,Home,Burnley,1.0,+0.5 to +1.0,Pinnacle Close,1.98,0.4023171966243746,0.27267661628631923,0.49489795918367346,-0.09258076255929887,0.06926466560258093,L,-1.0,True
2021/22,2022-03-05,Burnley,Chelsea,Away,Chelsea,-1.0,-0.5 to -1.0,Pinnacle Close,1.94,0.3250061870893062,0.27267661628631923,0.5051020408163266,-0.18009585372702042,-0.09681138076042684,W,0.94,False
2021/22,2022-03-05,Liverpool,West Ham,Home,Liverpool,-1.5,-1.5 or more,Pinnacle Close,2.11,0.5682690383830301,0.0,0.45897435897435895,0.10929467940867116,0.19904767098819343,L,-1.0,True
2021/22,2022-03-05,Liverpool,West Ham,Away,West Ham,1.5,+1.5 or more,Pinnacle Close,1.79,0.43173096161696933,0.0,0.541025641025641,-0.10929467940867166,-0.22720157870562485,W,0.79,False
2021/22,2022-03-05,Newcastle,Brighton,Home,Newcastle,0.0,near pick'em,Pinnacle Close,1.93,0.29954237078007634,0.2803016990405701,0.5063938618925831,-0.20685149111250672,-0.14158152535388252,W,0.9299999999999999,False
2021/22,2022-03-05,Newcastle,Brighton,Away,Brighton,-0.0,near pick'em,Pinnacle Close,1.98,0.42015593017935365,0.2803016990405701,0.4936061381074168,-0.07345020792806317,0.11221044079569031,L,-1.0,True
2021/22,2022-03-05,Norwich,Brentford,Home,Norwich,0.0,near pick'em,Pinnacle Close,1.83,0.20756212003191077,0.2658698009257272,0.5355329949238579,-0.3279708748919471,-0.3542915194158761,L,-1.0,False
2021/22,2022-03-05,Norwich,Brentford,Away,Brentford,-0.0,near pick'em,Pinnacle Close,2.11,0.5265680790423621,0.2658698009257272,0.46446700507614214,0.06210107396622,0.37692844770511125,W,1.1099999999999999,True
2021/22,2022-03-06,Watford,Arsenal,Home,Watford,1.0,+0.5 to +1.0,Pinnacle Close,2.01,0.4499910410907335,0.23535555090013138,0.4885496183206107,-0.03855857722987721,0.13983754349250566,PUSH,0.0,True
