TotalRank,Date,KickoffUTC,HomeTeam,AwayTeam,MarketType,Selection,Line,Bookmaker,EntryOdds,ModelWinProbability,PushProbability,ModelFairOdds,EntryImpliedProbability,ProbabilityEdge,ExpectedReturnPerUnit,PaperStakeUnits,PaperStakeAmount,ModelVersion,TrackingSource,TrackingNote
1,2026-09-19,2026-09-19T14:00:00+00:00,Newcastle,Hull City,Total,Under 2.5,2.5,MyBookie.ag,2.23,0.4815479370370973,0.0,2.0766364531699,0.4484304932735426,0.0331174437635547,0.0738518995937270,1.0,1.0,V1.2-strong-totals,StrongTotals,"Strongest total signal; calibrated O/U 2.5"
2,2026-09-20,2026-09-20T13:00:00+00:00,Leeds,Crystal Palace,Total,Over 2.5,2.5,MyBookie.ag,1.69,0.5970198802404613,0.0,1.674986098615729,0.5917159763313609,0.0053039039091004,0.0089635976063796,1.0,1.0,V1.2-strong-totals,StrongTotals,"Second strongest total signal; calibrated O/U 2.5; current tracked price only marginally above fair"
