GameweekRank,Date,KickoffUTC,FPLGameweek,HomeTeam,AwayTeam,MarketType,Selection,Line,Bookmaker,BookmakerKey,BookLastUpdate,QuoteCapturedAt,PriceSource,PriceTimestampUTC,PriceAgeMinutes,PriceFreshnessStatus,MyBookieOdds,RawModelWinProbability,RawModelEffectiveProbability,RawModelFairOdds,RawExpectedReturnPerUnit,ModelWinProbability,DecisionEffectiveProbability,PushProbability,ModelFairOdds,MyBookieImpliedProbability,ConsensusFairProbability,ConsensusBookCount,MarketPriorSource,RawModelMarketGap,ProbabilityEdge,DecisionStatus,ExpectedReturnPerUnit,ExpectedProfitPer100,ValidationFactor,ValidationStatus,BetQualityScore,ProfitabilityScore,OverallRankScore,Grade,Lambda_Home_xG,Lambda_Away_xG,MostLikelyScore,ModelVersion,V2ModelVersion,V2WinProbability,V2PushProbability,V2ExpectedReturnPerUnit,V1V2ProbabilityGap,V2Agreement,V2AdmissionStatus
11,2026-10-10,2026-10-10T11:30:00+00:00,6,Arsenal,Leeds,Spread,Leeds +1.5,1.5,MyBookie.ag,mybookieag,2026-09-22T17:32:54Z,2026-09-22T17:33:11.748608+00:00,odds_api_mybookie_direct,2026-09-22 17:32:54+00:00,0.3208256833333333,FRESH,1.7,0.6118075694237064,0.6118075694237064,1.634500862651883,0.0400728680203008,0.5857373913951565,0.5857373913951565,0.0,1.7072497243485163,0.5882352941176471,0.5466321243523315,2,consensus_non_mybookie,0.0651754450713748,0.0391052670428249,REVIEW,-0.004246434628234,-0.4246434628234041,0.84,"Derived, live validation building",49.89374350981687,0.0,28.510710577038207,PASS,1.9908958214625463,0.8778120320813771,2-0,V1.2,V2-shadow.4,0.6118075694237064,0.0,0.040072868020300856,0.0,True,ADMITTED: V1.2 and V2.3 agree
12,2026-10-10,2026-10-10T14:00:00+00:00,6,Aston Villa,Brentford,Total,Over 2.5,2.5,MyBookie.ag,mybookieag,2026-09-22T17:32:54Z,2026-09-22T17:33:11.748608+00:00,odds_api_mybookie_direct,2026-09-22 17:32:54+00:00,0.3208256833333333,FRESH,1.65,0.6108891420787288,0.6108891420787288,1.636958215687396,0.0079670844299024,0.5935154423511737,0.5935154423511737,0.0,1.684876127297655,0.6060606060606061,0.56125,6,consensus_non_mybookie,0.0496391420787287,0.0322654423511736,REVIEW,-0.0206995201205634,-2.069952012056342,1.0,Calibrated O/U 2.5,49.803356096460085,0.0,28.45906062654862,PASS,1.711519166730294,1.59527599744479,1-1,V1.2,V2-shadow.4,0.6419353190077692,0.0,0.05919327636281918,0.031046176929040437,True,ADMITTED: V1.2 and V2.3 agree
13,2026-10-10,2026-10-10T14:00:00+00:00,6,Chelsea,Bournemouth,Spread,Bournemouth +0.5,0.5,MyBookie.ag,mybookieag,2026-09-22T17:32:54Z,2026-09-22T17:33:11.748608+00:00,odds_api_mybookie_direct,2026-09-22 17:32:54+00:00,0.3208256833333333,FRESH,1.94,0.5460351940579946,0.5460351940579946,1.8313837841994292,0.0593082764725094,0.5172044497681301,0.5172044497681301,0.0,1.9334713776115304,0.5154639175257733,0.4739583333333334,2,consensus_non_mybookie,0.0720768607246611,0.0432461164347966,REVIEW,0.0033766325501722,0.3376632550172287,0.84,"Derived, live validation building",47.80113318468665,2.251088366781525,28.27968540558445,D,1.9672879754439807,1.6261354312070204,1-1,V1.2,V2-shadow.4,0.5460351940579946,0.0,0.05930827647250947,0.0,True,ADMITTED: V1.2 and V2.3 agree
14,2026-10-11,2026-10-11T15:30:00+00:00,6,Liverpool,Man City,Total,Over 2.5,2.5,MyBookie.ag,mybookieag,2026-09-22T17:32:54Z,2026-09-22T17:33:11.748608+00:00,odds_api_mybookie_direct,2026-09-22 17:32:54+00:00,0.3208256833333333,FRESH,1.56,0.6236412645245645,0.6236412645245645,1.6034859411722124,-0.0271196273416793,0.6115186544016998,0.6115186544016998,0.0,1.6352730906931765,0.641025641025641,0.5890052356020942,3,consensus_non_mybookie,0.0346360289224703,0.0225134187996056,NO_BET,-0.0460308991333482,-4.603089913334824,1.0,Calibrated O/U 2.5,46.27052537174905,0.0,26.440300212428028,PASS,1.784169368500562,1.6077729795054656,1-1,V1.2,V2-shadow.4,0.6587018846727767,0.0,0.027574940089531652,0.03506062014821221,True,ADMITTED: V1.2 and V2.3 agree
15,2026-10-10,2026-10-10T11:30:00+00:00,6,Arsenal,Leeds,Moneyline,Arsenal,,MyBookie.ag,mybookieag,2026-09-22T17:32:54Z,2026-09-22T17:33:11.748608+00:00,odds_api_mybookie_direct,2026-09-22 17:32:54+00:00,0.3208256833333333,FRESH,1.36,0.625891530981795,0.625891530981795,1.5977209316626566,-0.1487875178647588,0.6588322559589184,0.6588322559589184,0.0,1.51783703811605,0.7352941176470588,0.699093142042069,8,consensus_non_mybookie,0.073201611060274,-0.0402608860831505,NO_BET,-0.1039881318958709,-10.398813189587097,0.88,"Derived, live validation building",46.14161279794592,0.0,26.36663588454052,PASS,1.9908958214625463,0.8778120320813771,2-0,V1.2,V2-shadow.4,0.625891530981795,0.0,-0.1487875178647588,0.0,False,RESEARCH_ONLY: V2 EV -14.9% below +0.0%
16,2026-10-10,2026-10-10T14:00:00+00:00,6,Sunderland,Brighton,Total,Over 2.5,2.5,MyBookie.ag,mybookieag,2026-09-22T17:32:54Z,2026-09-22T17:33:11.748608+00:00,odds_api_mybookie_direct,2026-09-22 17:32:54+00:00,0.3208256833333333,FRESH,1.79,0.5534890298868308,0.5534890298868308,1.806720541876801,-0.0092546365025728,0.5410778999293838,0.5410778999293838,0.0,1.8481627139650505,0.5586592178770949,0.5180286585798396,6,consensus_non_mybookie,0.0354603713069912,0.0230492413495442,NO_BET,-0.0314705591264029,-3.1470559126402957,1.0,Calibrated O/U 2.5,45.29654714934868,0.0,25.88374122819924,PASS,1.404214116709948,1.5430254835708763,1-1,V1.2,V2-shadow.4,0.5648856326964813,0.0,0.01114528252670155,0.011396602809650491,True,ADMITTED: V1.2 and V2.3 agree
17,2026-10-10,2026-10-10T14:00:00+00:00,6,Aston Villa,Brentford,Spread,Aston Villa +0.5,0.5,MyBookie.ag,mybookieag,2026-09-22T17:32:54Z,2026-09-22T17:33:11.748608+00:00,odds_api_mybookie_direct,2026-09-22 17:32:54+00:00,0.3208256833333333,FRESH,1.5,0.6467517327242623,0.6467517327242623,1.5461883585340812,-0.0298724009136064,0.6353792839093666,0.6353792839093666,0.0,1.5738630851279762,0.6666666666666666,0.6183206106870229,1,mybookie_devig_fallback,0.0284311220372394,0.0170586732223436,NO_BET,-0.0469310741359501,-4.69310741359501,0.84,"Derived, live validation building",44.90602622167707,0.0,25.66058641238689,PASS,1.711519166730294,1.59527599744479,1-1,V1.2,V2-shadow.4,0.6467517327242623,0.0,-0.02987240091360649,0.0,False,RESEARCH_ONLY: V2 EV -3.0% below +0.0%
18,2026-10-12,2026-10-12T19:00:00+00:00,6,Coventry City,Newcastle,Spread,Coventry City +0.5,0.5,MyBookie.ag,mybookieag,2026-09-22T17:32:54Z,2026-09-22T17:33:11.748608+00:00,odds_api_mybookie_direct,2026-09-22 17:32:54+00:00,0.3208256833333333,FRESH,1.69,0.5791002577979507,0.5791002577979507,1.7268167066658466,-0.0213205643214633,0.5692218127098585,0.5692218127098585,0.0,1.756784398755492,0.591715976331361,0.5544041450777203,2,consensus_non_mybookie,0.0246961127202304,0.0148176676321382,NO_BET,-0.0380151365203391,-3.801513652033917,0.84,"Derived, live validation building",43.15844174443357,0.0,24.661966711104892,PASS,1.3244807124765108,1.5610921262519488,1-1,V1.2,V2-shadow.4,0.5791002577979507,0.0,-0.021320564321463342,0.0,False,RESEARCH_ONLY: V2 EV -2.1% below +0.0%
19,2026-10-11,2026-10-11T13:00:00+00:00,6,Hull City,Everton,Total,Under 2.5,2.5,MyBookie.ag,mybookieag,2026-09-22T17:32:54Z,2026-09-22T17:33:11.748608+00:00,odds_api_mybookie_direct,2026-09-22 17:32:54+00:00,0.3208256833333333,FRESH,1.7,0.5636160424832943,0.5636160424832943,1.7742575168620047,-0.0418527277783996,0.5581953474002376,0.5581953474002376,0.0,1.7914875225267315,0.5882352941176471,0.5481283422459893,3,consensus_non_mybookie,0.015487700237305,0.0100670051542482,NO_BET,-0.0510679094195961,-5.106790941959616,1.0,Calibrated O/U 2.5,42.90976737001188,0.0,24.51986706857821,PASS,1.2500924527002084,1.0563633753134452,1-1,V1.2,V2-shadow.4,0.5943276303692792,0.0,0.010356971627774547,0.030711587885984826,True,ADMITTED: V1.2 and V2.3 agree
20,2026-10-10,2026-10-10T14:00:00+00:00,6,Sunderland,Brighton,Spread,Sunderland +0.5,0.5,MyBookie.ag,mybookieag,2026-09-22T17:32:54Z,2026-09-22T17:33:11.748608+00:00,odds_api_mybookie_direct,2026-09-22 17:32:54+00:00,0.3208256833333333,FRESH,1.52,0.6001972317322005,0.6001972317322005,1.666118980778948,-0.0877002077670551,0.6038201385251815,0.6038201385251815,0.0,1.6561223056297525,0.6578947368421053,0.609254498714653,1,mybookie_devig_fallback,0.0090572669824524,-0.0054343601894715,NO_BET,-0.0821933894417241,-8.219338944172417,0.84,"Derived, live validation building",42.79100692625907,0.0,24.452003957862324,PASS,1.404214116709948,1.5430254835708763,1-1,V1.2,V2-shadow.4,0.6001972317322005,0.0,-0.08770020776705517,0.0,False,RESEARCH_ONLY: V2 EV -8.8% below +0.0%
