GameweekRank,Date,KickoffUTC,FPLGameweek,HomeTeam,AwayTeam,MarketType,Selection,Line,Bookmaker,BookmakerKey,BookLastUpdate,QuoteCapturedAt,PriceSource,PriceTimestampUTC,PriceAgeMinutes,PriceFreshnessStatus,MyBookieOdds,RawModelWinProbability,RawModelEffectiveProbability,RawModelFairOdds,RawExpectedReturnPerUnit,ModelWinProbability,DecisionEffectiveProbability,PushProbability,ModelFairOdds,MyBookieImpliedProbability,ConsensusFairProbability,ConsensusBookCount,MarketPriorSource,RawModelMarketGap,ProbabilityEdge,DecisionStatus,ExpectedReturnPerUnit,ExpectedProfitPer100,ValidationFactor,ValidationStatus,BetQualityScore,ProfitabilityScore,OverallRankScore,Grade,Lambda_Home_xG,Lambda_Away_xG,MostLikelyScore,ModelVersion,DecisionFocusScore,DecisionTier,DecisionGateStatus,Agreement,ModalSupport,ModalSupportNote,AdjustedPick,AdjustedPickProbability,AdjustedMarketStatus,DecisionReason,DecisionRule
19,2026-10-11,2026-10-11T13:00:00+00:00,6,Hull City,Everton,Total,Under 2.5,2.5,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,1.7,0.5636160424832943,0.5636160424832943,1.7742575168620047,-0.0418527277783996,0.5581953474002376,0.5581953474002376,0.0,1.7914875225267315,0.5882352941176471,0.5481283422459893,3,consensus_non_mybookie,0.015487700237305,0.0100670051542482,NO_BET,-0.0510679094195961,-5.106790941959616,1.0,Calibrated O/U 2.5,42.90976737001188,0.0,24.51986706857821,PASS,1.2500924527002084,1.0563633753134452,1-1,V1.2,62.25993353428911,NO_BET,NO_BET,STRONG_AGREEMENT,1.0,Modal score 1-1 supports under 2.5,Hull City,0.3767079905412718,MARKET_INCLUDED,"Decision gate: NO_BET; V1.2, V2 context and adjusted direction agree; Modal score 1-1 supports under 2.5; No positive modeled EV","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
10,2026-10-11,2026-10-11T15:30:00+00:00,6,Liverpool,Man City,Spread,Liverpool +0.5,0.5,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,1.56,0.656829087702709,0.656829087702709,1.5224660702794812,0.024653376816226,0.6320195305437033,0.6320195305437033,0.0,1.5822295857530486,0.641025641025641,0.5948051948051947,1,mybookie_devig_fallback,0.0620238928975143,0.0372143357385086,REVIEW,-0.0140495323518228,-1.4049532351822824,0.84,"Derived, live validation building",50.49230836561617,0.0,28.85274763749495,PASS,1.784169368500562,1.6077729795054656,1-1,V1.2,62.02637381874748,NO_BET,REVIEW,STRONG_AGREEMENT,1.0,Modal score 1-1 covers the spread,Liverpool,0.4055039424378741,MARKET_INCLUDED,"Decision gate: REVIEW; V1.2, V2 context and adjusted direction agree; Modal score 1-1 covers the spread; No positive modeled EV","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
15,2026-10-10,2026-10-10T11:30:00+00:00,6,Arsenal,Leeds,Moneyline,Arsenal,,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,1.36,0.625891530981795,0.625891530981795,1.5977209316626566,-0.1487875178647588,0.6588322559589184,0.6588322559589184,0.0,1.51783703811605,0.7352941176470588,0.699093142042069,8,consensus_non_mybookie,0.073201611060274,-0.0402608860831505,NO_BET,-0.1039881318958709,-10.398813189587097,0.88,"Derived, live validation building",46.14161279794592,0.0,26.36663588454052,PASS,1.9908958214625463,0.8778120320813771,2-0,V1.2,61.38331794227027,NO_BET,NO_BET,STRONG_AGREEMENT,1.0,Modal score 2-0 implies Arsenal,Arsenal,0.636501009276009,MARKET_INCLUDED,"Decision gate: NO_BET; V1.2, V2 context and adjusted direction agree; Modal score 2-0 implies Arsenal; No positive modeled EV","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
28,2026-10-11,2026-10-11T13:00:00+00:00,6,Crystal Palace,Nott'm Forest,Total,Under 2.5,2.5,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,1.76,0.4300150721097251,0.4300150721097251,2.32549988328045,-0.2431734730868838,0.4636243802046547,0.4636243802046547,0.0,2.156918494145145,0.5681818181818182,0.5260416666666667,6,consensus_non_mybookie,0.0960265945569416,-0.062417286462012,NO_BET,-0.1840210908398077,-18.40210908398078,1.0,Calibrated O/U 2.5,38.18121901023274,0.0,21.817839434418705,PASS,1.7601258654260534,1.286788874025405,1-1,V1.2,60.90891971720935,NO_BET,NO_BET,STRONG_AGREEMENT,1.0,Modal score 1-1 supports under 2.5,Crystal Palace,0.4602820049806623,MARKET_INCLUDED,"Decision gate: NO_BET; V1.2, V2 context and adjusted direction agree; Modal score 1-1 supports under 2.5; No positive modeled EV","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
29,2026-10-10,2026-10-10T14:00:00+00:00,6,Sunderland,Brighton,Total,Under 2.5,2.5,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,1.93,0.4465109701131692,0.4465109701131692,2.239586632656635,-0.1382338276815835,0.4589221000706161,0.4589221000706161,0.0,2.179019053225212,0.5181347150259068,0.4819713414201603,6,consensus_non_mybookie,0.0354603713069911,-0.0230492413495442,NO_BET,-0.1142803468637109,-11.428034686371095,1.0,Calibrated O/U 2.5,37.9461050035308,0.0,21.683488573446173,PASS,1.404214116709948,1.5430254835708763,1-1,V1.2,60.841744286723085,NO_BET,NO_BET,STRONG_AGREEMENT,1.0,Modal score 1-1 supports under 2.5,Brighton,0.3971973819998851,MARKET_INCLUDED,"Decision gate: NO_BET; V1.2, V2 context and adjusted direction agree; Modal score 1-1 supports under 2.5; No positive modeled EV","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
30,2026-10-10,2026-10-10T11:30:00+00:00,6,Arsenal,Leeds,Total,Under 2.5,2.5,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,2.05,0.4598314500077537,0.4598314500077537,2.174709885509436,-0.0573455274841049,0.4571023495370564,0.4571023495370564,0.0,2.187693852400406,0.4878048780487805,0.4520340200914756,4,consensus_non_mybookie,0.007797429916278,0.0050683294455807,NO_BET,-0.0629401834490344,-6.29401834490344,1.0,Calibrated O/U 2.5,37.85511747685282,0.0,21.63149570105875,PASS,1.9908958214625463,0.8778120320813771,2-0,V1.2,60.81574785052938,NO_BET,NO_BET,STRONG_AGREEMENT,1.0,Modal score 2-0 supports under 2.5,Arsenal,0.636501009276009,MARKET_INCLUDED,"Decision gate: NO_BET; V1.2, V2 context and adjusted direction agree; Modal score 2-0 supports under 2.5; No positive modeled EV","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
31,2026-10-12,2026-10-12T19:00:00+00:00,6,Coventry City,Newcastle,Total,Under 2.5,2.5,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,2.11,0.4569450013876086,0.4569450013876086,2.1884471806525774,-0.0358460470721458,0.4504519107226772,0.4504519107226772,0.0,2.2199928032176883,0.4739336492890995,0.4383933137735188,4,consensus_non_mybookie,0.0185516876140897,0.0120585969491583,NO_BET,-0.0495464683751512,-4.95464683751512,1.0,Calibrated O/U 2.5,37.6019635704824,0.0,21.48683632598994,PASS,1.3244807124765108,1.5610921262519488,1-1,V1.2,60.74341816299498,NO_BET,NO_BET,STRONG_AGREEMENT,1.0,Modal score 1-1 supports under 2.5,Newcastle,0.4246262807042909,MARKET_INCLUDED,"Decision gate: NO_BET; V1.2, V2 context and adjusted direction agree; Modal score 1-1 supports under 2.5; No positive modeled EV","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
33,2026-10-10,2026-10-10T14:00:00+00:00,6,Ipswich Town,Fulham,Total,Under 2.5,2.5,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,2.03,0.4415128988021124,0.4415128988021124,2.2649394903594957,-0.1037288154317118,0.4469434037538152,0.4469434037538152,0.0,2.2374197529287594,0.4926108374384237,0.457028627235549,6,consensus_non_mybookie,0.0155157284334366,-0.0100852234817337,NO_BET,-0.0927048903797551,-9.270489037975516,1.0,Calibrated O/U 2.5,37.34717018769076,0.0,21.34124010725186,PASS,1.2756725276280814,1.7014803077776877,1-1,V1.2,60.67062005362593,NO_BET,NO_BET,STRONG_AGREEMENT,1.0,Modal score 1-1 supports under 2.5,Fulham,0.4520267638734153,MARKET_INCLUDED,"Decision gate: NO_BET; V1.2, V2 context and adjusted direction agree; Modal score 1-1 supports under 2.5; No positive modeled EV","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
17,2026-10-10,2026-10-10T14:00:00+00:00,6,Aston Villa,Brentford,Spread,Aston Villa +0.5,0.5,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,1.5,0.6467517327242623,0.6467517327242623,1.5461883585340812,-0.0298724009136064,0.6353792839093666,0.6353792839093666,0.0,1.5738630851279762,0.6666666666666666,0.6183206106870229,1,mybookie_devig_fallback,0.0284311220372394,0.0170586732223436,NO_BET,-0.0469310741359501,-4.69310741359501,0.84,"Derived, live validation building",44.90602622167707,0.0,25.66058641238689,PASS,1.711519166730294,1.59527599744479,1-1,V1.2,60.430293206193454,NO_BET,NO_BET,STRONG_AGREEMENT,1.0,Modal score 1-1 covers the spread,Aston Villa,0.3964881804392826,MARKET_INCLUDED,"Decision gate: NO_BET; V1.2, V2 context and adjusted direction agree; Modal score 1-1 covers the spread; No positive modeled EV","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
36,2026-10-10,2026-10-10T14:00:00+00:00,6,Aston Villa,Brentford,Total,Under 2.5,2.5,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,2.12,0.3891108579212712,0.3891108579212712,2.569961695086725,-0.175084981206905,0.4064845576488263,0.4064845576488263,0.0,2.4601180565976843,0.4716981132075471,0.43875,6,consensus_non_mybookie,0.0496391420787287,-0.0322654423511736,NO_BET,-0.1382527377844882,-13.82527377844882,1.0,Calibrated O/U 2.5,35.32422788244132,0.0,20.18527307568075,PASS,1.711519166730294,1.59527599744479,1-1,V1.2,60.092636537840384,NO_BET,NO_BET,STRONG_AGREEMENT,1.0,Modal score 1-1 supports under 2.5,Aston Villa,0.3964881804392826,MARKET_INCLUDED,"Decision gate: NO_BET; V1.2, V2 context and adjusted direction agree; Modal score 1-1 supports under 2.5; No positive modeled EV","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
