GameweekRank,Date,KickoffUTC,FPLGameweek,HomeTeam,AwayTeam,MarketType,Selection,Line,Bookmaker,BookmakerKey,BookLastUpdate,QuoteCapturedAt,PriceSource,PriceTimestampUTC,PriceAgeMinutes,PriceFreshnessStatus,MyBookieOdds,ModelWinProbability,PushProbability,ModelFairOdds,MyBookieImpliedProbability,ProbabilityEdge,ExpectedReturnPerUnit,ExpectedProfitPer100,ValidationFactor,ValidationStatus,BetQualityScore,ProfitabilityScore,OverallRankScore,Grade,Lambda_Home_xG,Lambda_Away_xG,MostLikelyScore,ModelVersion
44,2026-10-10,2026-10-10T14:00:00+00:00,6,Aston Villa,Brentford,Moneyline,Brentford,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.48,0.3532573396719906,0.0,2.8307975169844406,0.40322580645161293,-0.049968466779622356,-0.12392179761346334,-12.392179761346334,0.88,"Derived, live validation building",30.86286698359953,0.0,17.635923990628303,PASS,1.711528284910965,1.5953221354706535,1-1,V1.2
45,2026-10-10,2026-10-10T14:00:00+00:00,6,Aston Villa,Brentford,Spread,Brentford -0.5,-0.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.41,0.35325733967199063,0.0,2.83079751698444,0.41493775933609955,-0.06168041966410892,-0.14864981139050248,-14.864981139050249,0.84,"Derived, live validation building",30.262866983599533,0.0,17.29306684777116,PASS,1.711528284910965,1.5953221354706535,1-1,V1.2
46,2026-10-10,2026-10-10T14:00:00+00:00,6,Sunderland,Brighton,Moneyline,Sunderland,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.75,0.3382933220300731,0.0,2.9560146029459706,0.36363636363636365,-0.02534304160629053,-0.0696933644172989,-6.96933644172989,0.88,"Derived, live validation building",30.114666101503655,0.0,17.20838062943066,PASS,1.4041577697710648,1.5430447306007036,1-1,V1.2
47,2026-10-11,2026-10-11T15:30:00+00:00,6,Liverpool,Man City,Spread,Man City -0.5,-0.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.27,0.34318451430023583,0.0,2.9138843925957203,0.44052863436123346,-0.09734412006099763,-0.2209711525384646,-22.09711525384646,0.84,"Derived, live validation building",29.759225715011794,0.0,17.005271837149596,PASS,1.784191412051835,1.6078494387904512,1-1,V1.2
48,2026-10-11,2026-10-11T13:00:00+00:00,6,Hull City,Everton,Moneyline,Everton,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.07,0.301610536334201,0.0,3.315534039871688,0.48309178743961356,-0.18148125110541258,-0.375666189788204,-37.5666189788204,0.88,"Derived, live validation building",28.28052681671005,0.0,16.16030103812003,PASS,1.2501010184685135,1.0561814651850812,1-1,V1.2
49,2026-10-11,2026-10-11T13:00:00+00:00,6,Hull City,Everton,Spread,Everton -0.5,-0.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.03,0.301610536334201,0.0,3.315534039871688,0.4926108374384237,-0.19100030110422273,-0.38773061124157204,-38.7730611241572,0.84,"Derived, live validation building",27.68052681671005,0.0,15.817443895262885,PASS,1.2501010184685135,1.0561814651850812,1-1,V1.2
50,2026-10-10,2026-10-10T14:00:00+00:00,6,Ipswich Town,Fulham,Moneyline,Ipswich Town,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.61,0.2793160520569383,0.0,3.5801737588506044,0.3831417624521073,-0.10382571039516897,-0.270985104131391,-27.0985104131391,0.88,"Derived, live validation building",27.165802602846917,0.0,15.523315773055378,PASS,1.2756121150578648,1.7016459899608325,1-1,V1.2
51,2026-10-12,2026-10-12T19:00:00+00:00,6,Coventry City,Newcastle,Moneyline,Draw,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,3.48,0.2638649960943668,0.0,3.789816818455022,0.28735632183908044,-0.02349132574471363,-0.08174981359160349,-8.174981359160348,0.88,"Derived, live validation building",26.393249804718344,0.0,15.081857031267624,PASS,1.3243734853700726,1.5609786516883826,1-1,V1.2
52,2026-10-10,2026-10-10T14:00:00+00:00,6,Sunderland,Brighton,Moneyline,Draw,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,3.32,0.2618876258387776,0.0,3.818431652878539,0.30120481927710846,-0.039317193438330844,-0.13053308221525828,-13.053308221525828,0.88,"Derived, live validation building",26.294381291938883,0.0,15.02536073825079,PASS,1.4041577697710648,1.5430447306007036,1-1,V1.2
53,2026-10-11,2026-10-11T13:00:00+00:00,6,Crystal Palace,Nott'm Forest,Spread,Nott'm Forest -0.5,-0.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.51,0.27259040441711513,0.0,3.6685077089867404,0.39840637450199207,-0.12581597008487694,-0.31579808491304107,-31.579808491304107,0.84,"Derived, live validation building",26.229520220855758,0.0,14.988297269060432,PASS,1.7601093221541944,1.2868222009334622,1-1,V1.2
54,2026-10-10,2026-10-10T14:00:00+00:00,6,Ipswich Town,Fulham,Moneyline,Draw,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,3.42,0.2546797062783507,0.0,3.926500523394887,0.29239766081871343,-0.03771795454036275,-0.1289954045280407,-12.89954045280407,0.88,"Derived, live validation building",25.933985313917535,0.0,14.819420179381448,PASS,1.2756121150578648,1.7016459899608325,1-1,V1.2
55,2026-10-11,2026-10-11T13:00:00+00:00,6,Crystal Palace,Nott'm Forest,Moneyline,Draw,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,3.2,0.2498761751539447,0.0,4.001982179309076,0.3125,-0.0626238248460553,-0.20039623950737695,-20.039623950737695,0.88,"Derived, live validation building",25.693808757697234,0.0,14.682176432969847,PASS,1.7601093221541944,1.2868222009334622,1-1,V1.2
56,2026-10-10,2026-10-10T14:00:00+00:00,6,Aston Villa,Brentford,Moneyline,Draw,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,3.4,0.2445942227416185,0.0,4.088404005585888,0.29411764705882354,-0.04952342431720505,-0.16837964267849714,-16.837964267849713,0.88,"Derived, live validation building",25.429711137080922,0.0,14.531263506903382,PASS,1.711528284910965,1.5953221354706535,1-1,V1.2
57,2026-10-11,2026-10-11T15:30:00+00:00,6,Liverpool,Man City,Moneyline,Draw,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,3.55,0.2403376876254911,0.0,4.160812271599539,0.28169014084507044,-0.04135245321957934,-0.14680120892950665,-14.680120892950665,0.88,"Derived, live validation building",25.216884381274557,0.0,14.409648217871174,PASS,1.784191412051835,1.6078494387904512,1-1,V1.2
58,2026-10-10,2026-10-10T14:00:00+00:00,6,Chelsea,Bournemouth,Moneyline,Draw,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,4.0,0.2297728371320817,0.0,4.352124526473789,0.25,-0.020227162867918314,-0.08090865147167325,-8.090865147167325,0.88,"Derived, live validation building",24.688641856604086,0.0,14.107795346630905,PASS,1.9673349671036575,1.6261671135470963,1-1,V1.2
