GameweekRank,Date,KickoffUTC,FPLGameweek,HomeTeam,AwayTeam,MarketType,Selection,Line,Bookmaker,BookmakerKey,BookLastUpdate,QuoteCapturedAt,PriceSource,PriceTimestampUTC,PriceAgeMinutes,PriceFreshnessStatus,MyBookieOdds,ModelWinProbability,PushProbability,ModelFairOdds,MyBookieImpliedProbability,ProbabilityEdge,ExpectedReturnPerUnit,ExpectedProfitPer100,ValidationFactor,ValidationStatus,BetQualityScore,ProfitabilityScore,OverallRankScore,Grade,Lambda_Home_xG,Lambda_Away_xG,MostLikelyScore,ModelVersion
11,2026-10-10,2026-10-10T11:30:00+00:00,6,Arsenal,Leeds,Spread,Leeds +1.5,1.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.73,0.6117896032207931,0.0,1.6345488624446318,0.5780346820809249,0.03375492113986822,0.058396013571972105,5.8396013571972105,0.84,"Derived, live validation building",62.15878253613477,38.930675714648075,52.20387961264047,D,1.9909611581945903,0.8778019841215658,2-0,V1.2
12,2026-10-10,2026-10-10T11:30:00+00:00,6,Arsenal,Leeds,Moneyline,Draw,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,4.8,0.2236192626531917,0.0,4.471886670831606,0.20833333333333334,0.015285929319858366,0.07337246073532011,7.337246073532011,0.88,"Derived, live validation building",45.971143761340606,48.914973823546745,47.232785216571806,D,1.9909611581945903,0.8778019841215658,2-0,V1.2
13,2026-10-10,2026-10-10T14:00:00+00:00,6,Aston Villa,Brentford,Moneyline,Aston Villa,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,2.61,0.4021484375863907,0.0,2.4866440014085027,0.3831417624521073,0.01900667513428339,0.049607422100479526,4.960742210047952,0.88,"Derived, live validation building",50.738720746903454,33.07161473365302,43.16710388408184,D,1.711528284910965,1.5953221354706535,1-1,V1.2
14,2026-10-10,2026-10-10T14:00:00+00:00,6,Aston Villa,Brentford,Total,Over 2.5,2.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.68,0.6108967140689825,0.0,1.6369379257899888,0.5952380952380952,0.01565861883088726,0.026306479635890556,2.6306479635890554,1.0,Calibrated O/U 2.5,58.89846963972997,17.537653090593704,41.17240540438585,D,1.711528284910965,1.5953221354706535,1-1,V1.2
15,2026-10-11,2026-10-11T15:30:00+00:00,6,Liverpool,Man City,Spread,Liverpool +0.5,0.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.56,0.656815485699764,0.0,1.5224975990549476,0.641025641025641,0.015789844674123032,0.02463215769163185,2.463215769163185,0.84,"Derived, live validation building",58.501401881023774,16.421438461087902,40.4671318439084,D,1.784191412051835,1.6078494387904512,1-1,V1.2
16,2026-10-10,2026-10-10T14:00:00+00:00,6,Sunderland,Brighton,Total,Over 2.5,2.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.84,0.553482419473717,0.0,1.8067421201035756,0.5434782608695652,0.010004158604151825,0.018407651831639338,1.8407651831639338,1.0,Calibrated O/U 2.5,54.64546004422274,12.271767887759559,36.48530626288137,D,1.4041577697710648,1.5430447306007036,1-1,V1.2
17,2026-10-11,2026-10-11T15:30:00+00:00,6,Liverpool,Man City,Total,Over 2.5,2.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.56,0.6236549399445808,0.0,1.6034507801523419,0.641025641025641,-0.017370701081060202,-0.027098293686453945,-2.7098293686453943,1.0,Calibrated O/U 2.5,50.190545602099604,0.0,28.680311772628343,PASS,1.784191412051835,1.6078494387904512,1-1,V1.2
18,2026-10-10,2026-10-10T14:00:00+00:00,6,Aston Villa,Brentford,Spread,Aston Villa +0.5,0.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.5,0.6467426603280093,0.0,1.5462100482019057,0.6666666666666666,-0.01992400633865732,-0.029886009507986033,-2.9886009507986033,0.84,"Derived, live validation building",48.45708135250291,0.0,27.689760772858804,PASS,1.711528284910965,1.5953221354706535,1-1,V1.2
19,2026-10-12,2026-10-12T19:00:00+00:00,6,Coventry City,Newcastle,Spread,Coventry City +0.5,0.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.69,0.5791058435605153,0.0,1.7268000506637993,0.591715976331361,-0.012610132770845661,-0.02131112438272914,-2.131112438272914,0.84,"Derived, live validation building",46.575845411048164,0.0,26.614768806313233,PASS,1.3243734853700726,1.5609786516883826,1-1,V1.2
20,2026-10-10,2026-10-10T14:00:00+00:00,6,Ipswich Town,Fulham,Total,Over 2.5,2.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.72,0.5585041946840277,0.0,1.7904968476839238,0.5813953488372093,-0.02289115415318166,-0.03937278514347242,-3.937278514347242,1.0,Calibrated O/U 2.5,44.78497233409371,0.0,25.59141276233926,PASS,1.2756121150578648,1.7016459899608325,1-1,V1.2
21,2026-10-10,2026-10-10T11:30:00+00:00,6,Arsenal,Leeds,Moneyline,Arsenal,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.34,0.6259078840525665,0.0,1.5976791880704535,0.7462686567164178,-0.12036077266385137,-0.16128343536956088,-16.128343536956088,0.88,"Derived, live validation building",44.495394202628326,0.0,25.42593954435904,PASS,1.9909611581945903,0.8778019841215658,2-0,V1.2
22,2026-10-12,2026-10-12T19:00:00+00:00,6,Coventry City,Newcastle,Moneyline,Coventry City,,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,3.2,0.3152408474661486,0.0,3.1721777429474227,0.3125,0.0027408474661486104,0.008770711891675553,0.8770711891675553,0.88,"Derived, live validation building",39.24691695435065,5.847141261117036,24.932727371536245,D,1.3243734853700726,1.5609786516883826,1-1,V1.2
23,2026-10-11,2026-10-11T13:00:00+00:00,6,Hull City,Everton,Total,Under 2.5,2.5,MyBookie.ag,mybookieag,2026-09-21T16:11:54Z,2026-09-21T16:13:26.674096+00:00,odds_api_mybookie_direct,2026-09-21 16:11:54+00:00,1.5648805000000001,FRESH,1.69,0.5636498284312519,0.0,1.7741511654198427,0.591715976331361,-0.028066147900109084,-0.047431789951184355,-4.743178995118436,1.0,Calibrated O/U 2.5,43.63192818010533,0.0,24.932530388631612,PASS,1.2501010184685135,1.0561814651850812,1-1,V1.2
