PortfolioRank,GameweekRank,Date,KickoffUTC,FPLGameweek,HomeTeam,AwayTeam,MarketType,Selection,Line,Bookmaker,BookmakerKey,BookLastUpdate,QuoteCapturedAt,PriceSource,PriceTimestampUTC,PriceAgeMinutes,PriceFreshnessStatus,MyBookieOdds,RawModelWinProbability,RawModelEffectiveProbability,RawModelFairOdds,RawExpectedReturnPerUnit,ModelWinProbability,DecisionEffectiveProbability,PushProbability,ModelFairOdds,MyBookieImpliedProbability,ConsensusFairProbability,ConsensusBookCount,MarketPriorSource,RawModelMarketGap,ProbabilityEdge,DecisionStatus,ExpectedReturnPerUnit,ExpectedProfitPer100,ValidationFactor,ValidationStatus,BetQualityScore,ProfitabilityScore,OverallRankScore,Grade,Lambda_Home_xG,Lambda_Away_xG,MostLikelyScore,ModelVersion,V2ModelVersion,V2WinProbability,V2PushProbability,V2ExpectedReturnPerUnit,V1V2ProbabilityGap,V2Agreement,V2AdmissionStatus,ExtremeEdgeFlag,ExtremeEdgeThreshold,ExtremeLinePairValid,ExtremeConsensusBookCount,ExtremeConsensusMedianOdds,ExtremeConsensusMedianImpliedProbability,ExtremeRawModelConsensusProbabilityGap,ExtremeMyBookieConsensusPriceDeviationPct,ExtremeEdgeSanityPass,ExtremeEdgeSanityStatus,FullKellyFraction,PaperStakeFraction,PaperStakeUnits,PaperStakeAmount,ExpectedPaperProfit,PortfolioExposurePct,SizingNote,PreCalibrationStakeUnits,MoneylineCalibrationMultiplier,MoneylineCalibrationStatus,CalibrationGateAdmitted
1,1,2026-10-11,2026-10-11T13:00:00+00:00,6,Hull City,Everton,Moneyline,Hull City,,MyBookie.ag,mybookieag,2026-09-22T23:35:08Z,2026-09-22T23:35:42.379778+00:00,odds_api_mybookie_direct,2026-09-22 23:35:08+00:00,0.5928208833333334,FRESH,3.44,0.3971348094133268,0.3971348094133268,2.518036637174325,0.3661437443818441,0.3356468036000355,0.3356468036000355,0.0,2.979322279474537,0.2906976744186046,0.2604947964949016,8,consensus_non_mybookie,0.1366400129184251,0.0751520071051338,BET_ELIGIBLE,0.1546250043841222,15.46250043841222,0.88,"Derived, live validation building",64.98234018000177,100.0,79.98990867428671,B,1.2501010184685135,1.0561814651850812,1-1,V1.2,V2-shadow.4,0.3971348094133268,0.0,0.3661437443818441,0.0,True,ADMITTED: V1.2 and V2.3 agree,False,0.25,True,0,,,,,True,"PASS: normal edge, extreme audit not required",0.0633709034361156,0.007921362929514456,0.7921362929514456,0.7921362929514456,0.12248407777043957,0.007921362929514456,paper only; market-anchored probability; >=5pp decision edge gate; V2.3 agreement + extreme-edge sanity gates; capped fractional Kelly; minimum 0.25u; historical moneyline calibration gate,1.5842725859028912,0.5,"historical V1.2 moneyline bucket +200 to +299, stake multiplier 0.50",True
2,2,2026-10-11,2026-10-11T13:00:00+00:00,6,Crystal Palace,Nott'm Forest,Moneyline,Crystal Palace,,MyBookie.ag,mybookieag,2026-09-22T23:35:08Z,2026-09-22T23:35:42.379778+00:00,odds_api_mybookie_direct,2026-09-22 23:35:08+00:00,0.5928208833333334,FRESH,2.61,0.4775334204289401,0.4775334204289401,2.0940942711439106,0.2463622273195336,0.4258799381663103,0.4258799381663103,0.0,2.348079612074824,0.3831417624521073,0.3627479042897626,8,consensus_non_mybookie,0.1147855161391774,0.0631320338765476,BET_ELIGIBLE,0.1115466386140698,11.154663861406988,0.88,"Derived, live validation building",62.76465866577774,74.36442574271325,67.73598741303582,C,1.7601093221541944,1.2868222009334622,1-1,V1.2,V2-shadow.4,0.4775334204289401,0.0,0.2463622273195336,0.0,True,ADMITTED: V1.2 and V2.3 agree,False,0.25,True,0,,,,,True,"PASS: normal edge, extreme audit not required",0.0692836264683663,0.017320906617091597,1.7320906617091598,1.7320906617091598,0.19320889108847666,0.025242269546606053,paper only; market-anchored probability; >=5pp decision edge gate; V2.3 agreement + extreme-edge sanity gates; capped fractional Kelly; minimum 0.25u; historical moneyline calibration gate,1.7320906617091598,1.0,"historical V1.2 moneyline bucket +150 to +199, stake multiplier 1.00",True
3,4,2026-10-11,2026-10-11T13:00:00+00:00,6,Hull City,Everton,Spread,Hull City +0.5,0.5,MyBookie.ag,mybookieag,2026-09-22T23:35:08Z,2026-09-22T23:35:42.379778+00:00,odds_api_mybookie_direct,2026-09-22 23:35:08+00:00,0.5928208833333334,FRESH,1.7,0.6983894636657989,0.6983894636657989,1.4318658170343348,0.187262088231858,0.6322980180263192,0.6322980180263192,0.0,1.5815327131997672,0.5882352941176471,0.5331608495670996,4,consensus_non_mybookie,0.1652286140986992,0.0991371684592196,BET_ELIGIBLE,0.0749066306447426,7.490663064474267,0.84,"Derived, live validation building",66.07356126414594,49.93775376316179,59.15821519229558,D,1.2501010184685135,1.0561814651850812,1-1,V1.2,V2-shadow.4,0.6983894636657989,0.0,0.187262088231858,0.0,True,ADMITTED: V1.2 and V2.3 agree,False,0.25,True,0,,,,,True,"PASS: normal edge, extreme audit not required",0.1070094723496324,0.014157274140971088,1.4157274140971088,1.4157274140971088,0.10604737050140868,0.03939954368757714,paper only; market-anchored probability; >=5pp decision edge gate; V2.3 agreement + extreme-edge sanity gates; capped fractional Kelly; minimum 0.25u; historical moneyline calibration gate,1.4157274140971088,1.0,"not a moneyline, historical moneyline gate not applied",True
