Date,KickoffUTC,HomeTeam,AwayTeam,V1_P_Home,V1_P_Draw,V1_P_Away,V2_P_Home,V2_P_Draw,V2_P_Away,Market_P_Home,Market_P_Draw,Market_P_Away,HomeAvailabilityShift,DrawAvailabilityShift,AwayAvailabilityShift,AvailabilityNote,Adjusted_P_Home,Adjusted_P_Draw,Adjusted_P_Away,AdjustedPick,AdjustedPickProbability,Agreement,MarketStatus,Method,ProductionEligible
2026-10-10,2026-10-10T11:30:00+00:00,Arsenal,Leeds,0.625891530981795,0.223626709283448,0.1504817597347578,0.625891530981795,0.223626709283448,0.1504817597347578,0.6851716826555737,0.1899214533912393,0.12490686395318702,0.0,0.0,0.0,,0.6347835537328613,0.21857092089961658,0.14664552536752207,Arsenal,0.6347835537328613,STRONG_AGREEMENT,MARKET_INCLUDED,Shadow ensemble: 65% V1.2 + 20% V2 context + 15% no-vig market when available; optional capped manual availability shifts,False
2026-10-10,2026-10-10T14:00:00+00:00,Aston Villa,Brentford,0.4021552956374636,0.2445964370867987,0.3532482672757374,0.4021552956374636,0.2445964370867987,0.3532482672757374,0.3651672490108684,0.2647903608449777,0.3700423901441539,0.0,0.0,0.0,,0.39660708864347444,0.24762552565052562,0.3557673857059999,Aston Villa,0.39660708864347444,STRONG_AGREEMENT,MARKET_INCLUDED,Shadow ensemble: 65% V1.2 + 20% V2 context + 15% no-vig market when available; optional capped manual availability shifts,False
2026-10-10,2026-10-10T14:00:00+00:00,Chelsea,Bournemouth,0.4539648059420056,0.2297761449372643,0.3162590491207305,0.4539648059420056,0.2297761449372643,0.3162590491207305,0.5250566830097133,0.23335043228501876,0.24159288470526796,0.0,0.0,0.0,,0.46462858750216157,0.23031228803942738,0.30505912445841105,Chelsea,0.46462858750216157,STRONG_AGREEMENT,MARKET_INCLUDED,Shadow ensemble: 65% V1.2 + 20% V2 context + 15% no-vig market when available; optional capped manual availability shifts,False
2026-10-10,2026-10-10T14:00:00+00:00,Ipswich Town,Fulham,0.2793575067211523,0.2546915475116853,0.4659509457671624,0.2793575067211523,0.2546915475116853,0.4659509457671624,0.35765229933948456,0.26679082653215713,0.3755568741283584,0.0,0.0,0.0,,0.29110172561390213,0.2565064393647561,0.4523918350213418,Fulham,0.4523918350213418,STRONG_AGREEMENT,MARKET_INCLUDED,Shadow ensemble: 65% V1.2 + 20% V2 context + 15% no-vig market when available; optional capped manual availability shifts,False
2026-10-10,2026-10-10T14:00:00+00:00,Sunderland,Brighton,0.3383108198910013,0.2618864118411996,0.3998027682677992,0.3383108198910013,0.2618864118411996,0.3998027682677992,0.3392224554344542,0.27108822341150596,0.3896893211540398,0.0,0.0,0.0,,0.33844756522251923,0.26326668357674554,0.3982857512007352,Brighton,0.3982857512007352,STRONG_AGREEMENT,MARKET_INCLUDED,Shadow ensemble: 65% V1.2 + 20% V2 context + 15% no-vig market when available; optional capped manual availability shifts,False
2026-10-10,2026-10-10T16:30:00+00:00,Man United,Spurs,0.5466594876565535,0.2291414216864976,0.2241990906569496,0.5466594876565535,0.2291414216864976,0.2241990906569496,,,,0.0,0.0,0.0,,0.5466594876565531,0.22914142168649745,0.22419909065694948,Man United,0.5466594876565531,STRONG_AGREEMENT,NO_MARKET_H2H,Shadow ensemble: 65% V1.2 + 20% V2 context + 15% no-vig market when available; optional capped manual availability shifts,False
2026-10-11,2026-10-11T13:00:00+00:00,Crystal Palace,Nott'm Forest,0.4775446707053613,0.2498753972166016,0.272579932078037,0.4775446707053613,0.2498753972166016,0.272579932078037,0.36246023254070175,0.27846564555693487,0.3590741219023634,0.0,0.0,0.0,,0.46028200498066235,0.2541639344676516,0.285554060551686,Crystal Palace,0.46028200498066235,STRONG_AGREEMENT,MARKET_INCLUDED,Shadow ensemble: 65% V1.2 + 20% V2 context + 15% no-vig market when available; optional capped manual availability shifts,False
2026-10-11,2026-10-11T13:00:00+00:00,Hull City,Everton,0.3970911861346559,0.301245345012792,0.3016634688525519,0.3970911861346559,0.301245345012792,0.3016634688525519,0.261094178368508,0.28192213278117545,0.45698368885031654,0.0,0.0,0.0,,0.3766916349697338,0.29834686317804954,0.32496150185221667,Hull City,0.3766916349697338,STRONG_AGREEMENT,MARKET_INCLUDED,Shadow ensemble: 65% V1.2 + 20% V2 context + 15% no-vig market when available; optional capped manual availability shifts,False
2026-10-11,2026-10-11T15:30:00+00:00,Liverpool,Man City,0.4164877301311628,0.2403413575715466,0.3431709122972907,0.4164877301311628,0.2403413575715466,0.3431709122972907,0.35096316859675986,0.2583478879948371,0.3906889434084029,0.0,0.0,0.0,,0.4066590459010024,0.24304233713504014,0.3502986169639575,Liverpool,0.4066590459010024,STRONG_AGREEMENT,MARKET_INCLUDED,Shadow ensemble: 65% V1.2 + 20% V2 context + 15% no-vig market when available; optional capped manual availability shifts,False
2026-10-12,2026-10-12T19:00:00+00:00,Coventry City,Newcastle,0.3152472395377306,0.2638530182602203,0.4208997422020489,0.3152472395377306,0.2638530182602203,0.4208997422020489,0.2872088345261075,0.2641813410497643,0.44860982442412806,0.0,0.0,0.0,,0.31104147878598715,0.26390226667865196,0.4250562545353609,Newcastle,0.4250562545353609,STRONG_AGREEMENT,MARKET_INCLUDED,Shadow ensemble: 65% V1.2 + 20% V2 context + 15% no-vig market when available; optional capped manual availability shifts,False
