ParlayID,Label,LegCount,LegBetIDs,EntryOdds,ModelProbability,ExpectedReturnPerUnit,StakeUnits,TrackingSource,Status,ProfitUnits,SettledUTC,TrackingNote,LegResults
parlay-2leg-week5,Everton ML + Newcastle-Hull U2.5,2,favwatch-eve-ml|strongtot-new-hul-u25,3.8802,0.27585,0.0704,0.4,ParlayWatch,OPEN,,,Two-leg parlay tracked separately from singles,MISSING_LEG
parlay-3leg-week5,Everton ML + Newcastle-Hull U2.5 + Leeds-Palace O2.5,3,favwatch-eve-ml|strongtot-new-hul-u25|strongtot-lee-cry-o25,6.557538,0.16468,0.08,0.2,ParlayWatch,OPEN,,,Three-leg parlay tracked separately from singles,MISSING_LEG
